daylight,night,
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:53,10:07,Dez-03
13:52,10:08,Dez-03
13:52,10:08,Dez-03
13:51,10:09,Jan-04
13:51,10:09,Jan-04
13:50,10:10,Jan-04
13:50,10:10,Jan-04
13:49,10:11,Jan-04
13:49,10:11,Jan-04
13:48,10:12,Jan-04
13:47,10:13,Jan-04
13:47,10:13,Jan-04
13:46,10:14,Jan-04
13:45,10:15,Jan-04
13:44,10:16,Jan-04
13:43,10:17,Jan-04
13:43,10:17,Jan-04
13:42,10:18,Jan-04
13:41,10:19,Jan-04
13:40,10:20,Jan-04
13:39,10:21,Jan-04
13:38,10:22,Jan-04
13:37,10:23,Jan-04
13:36,10:24,Jan-04
13:34,10:26,Jan-04
13:33,10:27,Jan-04
13:32,10:28,Jan-04
13:31,10:29,Jan-04
13:30,10:30,Jan-04
13:28,10:32,Jan-04
13:27,10:33,Jan-04
13:26,10:34,Jan-04
13:25,10:35,Jan-04
13:23,10:37,Jan-04
13:22,10:38,Fev-04
13:21,10:39,Fev-04
13:19,10:41,Fev-04
13:18,10:42,Fev-04
13:16,10:44,Fev-04
13:15,10:45,Fev-04
13:14,10:46,Fev-04
13:12,10:48,Fev-04
13:11,10:49,Fev-04
13:09,10:51,Fev-04
13:08,10:52,Fev-04
13:06,10:54,Fev-04
13:05,10:55,Fev-04
13:03,10:57,Fev-04
13:02,10:58,Fev-04
13:00,11:00,Fev-04
12:59,11:01,Fev-04
12:57,11:03,Fev-04
12:55,11:05,Fev-04
12:54,11:06,Fev-04
12:52,11:08,Fev-04
12:51,11:09,Fev-04
12:49,11:11,Fev-04
12:47,11:13,Fev-04
12:46,11:14,Fev-04
12:44,11:16,Fev-04
12:43,11:17,Fev-04
12:41,11:19,Fev-04
12:39,11:21,Mar-04
12:38,11:22,Mar-04
12:36,11:24,Mar-04
12:34,11:26,Mar-04
12:33,11:27,Mar-04
12:31,11:29,Mar-04
12:29,11:31,Mar-04
12:28,11:32,Mar-04
12:26,11:34,Mar-04
12:24,11:36,Mar-04
12:23,11:37,Mar-04
12:21,11:39,Mar-04
12:19,11:41,Mar-04
12:18,11:42,Mar-04
12:16,11:44,Mar-04
12:14,11:46,Mar-04
12:13,11:47,Mar-04
12:11,11:49,Mar-04
12:09,11:51,Mar-04
12:08,11:52,Mar-04
12:06,11:54,Mar-04
12:04,11:56,Mar-04
12:03,11:57,Mar-04
12:01,11:59,Mar-04
12:00,12:00,Mar-04
11:58,12:02,Mar-04
11:56,12:04,Mar-04
11:55,12:05,Mar-04
11:53,12:07,Mar-04
11:51,12:09,Mar-04
11:50,12:10,Mar-04
11:48,12:12,Apr-04
11:46,12:14,Apr-04
11:45,12:15,Apr-04
11:43,12:17,Apr-04
11:42,12:18,Apr-04
11:40,12:20,Apr-04
11:38,12:22,Apr-04
11:37,12:23,Apr-04
11:35,12:25,Apr-04
11:34,12:26,Apr-04
11:32,12:28,Apr-04
11:31,12:29,Apr-04
11:29,12:31,Apr-04
11:27,12:33,Apr-04
11:26,12:34,Apr-04
11:24,12:36,Apr-04
11:23,12:37,Apr-04
11:21,12:39,Apr-04
11:20,12:40,Apr-04
11:18,12:42,Apr-04
11:17,12:43,Apr-04
11:15,12:45,Apr-04
11:14,12:46,Apr-04
11:13,12:47,Apr-04
11:11,12:49,Apr-04
11:10,12:50,Apr-04
11:08,12:52,Apr-04
11:07,12:53,Apr-04
11:05,12:55,Apr-04
11:04,12:56,Apr-04
11:03,12:57,May-04
11:01,12:59,May-04
11:00,13:00,May-04
10:59,13:01,May-04
10:57,13:03,May-04
10:56,13:04,May-04
10:55,13:05,May-04
10:54,13:06,May-04
10:52,13:08,May-04
10:51,13:09,May-04
10:50,13:10,May-04
10:49,13:11,May-04
10:48,13:12,May-04
10:47,13:13,May-04
10:45,13:15,May-04
10:44,13:16,May-04
10:43,13:17,May-04
10:42,13:18,May-04
10:41,13:19,May-04
10:40,13:20,May-04
10:39,13:21,May-04
10:38,13:22,May-04
10:37,13:23,May-04
10:37,13:23,May-04
10:36,13:24,May-04
10:35,13:25,May-04
10:34,13:26,May-04
10:33,13:27,May-04
10:32,13:28,May-04
10:32,13:28,May-04
10:31,13:29,Jun-04
10:30,13:30,Jun-04
10:30,13:30,Jun-04
10:29,13:31,Jun-04
10:28,13:32,Jun-04
10:28,13:32,Jun-04
10:27,13:33,Jun-04
10:27,13:33,Jun-04
10:26,13:34,Jun-04
10:26,13:34,Jun-04
10:26,13:34,Jun-04
10:25,13:35,Jun-04
10:25,13:35,Jun-04
10:25,13:35,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:24,13:36,Jun-04
10:25,13:35,Jun-04
10:25,13:35,Jul-04
10:25,13:35,Jul-04
10:26,13:34,Jul-04
10:26,13:34,Jul-04
10:26,13:34,Jul-04
10:27,13:33,Jul-04
10:27,13:33,Jul-04
10:28,13:32,Jul-04
10:28,13:32,Jul-04
10:29,13:31,Jul-04
10:30,13:30,Jul-04
10:30,13:30,Jul-04
10:31,13:29,Jul-04
10:32,13:28,Jul-04
10:32,13:28,Jul-04
10:33,13:27,Jul-04
10:34,13:26,Jul-04
10:35,13:25,Jul-04
10:36,13:24,Jul-04
10:36,13:24,Jul-04
10:37,13:23,Jul-04
10:38,13:22,Jul-04
10:39,13:21,Jul-04
10:40,13:20,Jul-04
10:41,13:19,Jul-04
10:42,13:18,Jul-04
10:43,13:17,Jul-04
10:44,13:16,Jul-04
10:45,13:15,Jul-04
10:46,13:14,Jul-04
10:47,13:13,Jul-04
10:49,13:11,Ago-04
10:50,13:10,Ago-04
10:51,13:09,Ago-04
10:52,13:08,Ago-04
10:53,13:07,Ago-04
10:55,13:05,Ago-04
10:56,13:04,Ago-04
10:57,13:03,Ago-04
10:58,13:02,Ago-04
11:00,13:00,Ago-04
11:01,12:59,Ago-04
11:02,12:58,Ago-04
11:04,12:56,Ago-04
11:05,12:55,Ago-04
11:06,12:54,Ago-04
11:08,12:52,Ago-04
11:09,12:51,Ago-04
11:11,12:49,Ago-04
11:12,12:48,Ago-04
11:13,12:47,Ago-04
11:15,12:45,Ago-04
11:16,12:44,Ago-04
11:18,12:42,Ago-04
11:19,12:41,Ago-04
11:21,12:39,Ago-04
11:22,12:38,Ago-04
11:24,12:36,Ago-04
11:25,12:35,Ago-04
11:27,12:33,Ago-04
11:28,12:32,Ago-04
11:30,12:30,Ago-04
11:31,12:29,Set-04
11:33,12:27,Set-04
11:34,12:26,Set-04
11:36,12:24,Set-04
11:37,12:23,Set-04
11:39,12:21,Set-04
11:41,12:19,Set-04
11:42,12:18,Set-04
11:44,12:16,Set-04
11:45,12:15,Set-04
11:47,12:13,Set-04
11:48,12:12,Set-04
11:50,12:10,Set-04
11:52,12:08,Set-04
11:53,12:07,Set-04
11:55,12:05,Set-04
11:57,12:03,Set-04
11:58,12:02,Set-04
12:00,12:00,Set-04
12:01,11:59,Set-04
12:03,11:57,Set-04
12:05,11:55,Set-04
12:06,11:54,Set-04
12:08,11:52,Set-04
12:10,11:50,Set-04
12:11,11:49,Set-04
12:13,11:47,Set-04
12:14,11:46,Set-04
12:16,11:44,Set-04
12:18,11:42,Set-04
12:19,11:41,Out-04
12:21,11:39,Out-04
12:23,11:37,Out-04
12:24,11:36,Out-04
12:26,11:34,Out-04
12:28,11:32,Out-04
12:29,11:31,Out-04
12:31,11:29,Out-04
12:32,11:28,Out-04
12:34,11:26,Out-04
12:36,11:24,Out-04
12:37,11:23,Out-04
12:39,11:21,Out-04
12:40,11:20,Out-04
12:42,11:18,Out-04
12:44,11:16,Out-04
12:45,11:15,Out-04
12:47,11:13,Out-04
12:48,11:12,Out-04
12:50,11:10,Out-04
12:52,11:08,Out-04
12:53,11:07,Out-04
12:55,11:05,Out-04
12:56,11:04,Out-04
12:58,11:02,Out-04
12:59,11:01,Out-04
13:01,10:59,Out-04
13:02,10:58,Out-04
13:04,10:56,Out-04
13:06,10:54,Out-04
13:07,10:53,Out-04
13:08,10:52,Nov-04
13:10,10:50,Nov-04
13:11,10:49,Nov-04
13:13,10:47,Nov-04
13:14,10:46,Nov-04
13:16,10:44,Nov-04
13:17,10:43,Nov-04
13:18,10:42,Nov-04
13:20,10:40,Nov-04
13:21,10:39,Nov-04
13:23,10:37,Nov-04
13:24,10:36,Nov-04
13:25,10:35,Nov-04
13:26,10:34,Nov-04
13:28,10:32,Nov-04
13:29,10:31,Nov-04
13:30,10:30,Nov-04
13:31,10:29,Nov-04
13:33,10:27,Nov-04
13:34,10:26,Nov-04
13:35,10:25,Nov-04
13:36,10:24,Nov-04
13:37,10:23,Nov-04
13:38,10:22,Nov-04
13:39,10:21,Nov-04
13:40,10:20,Nov-04
13:41,10:19,Nov-04
13:42,10:18,Nov-04
13:43,10:17,Nov-04
13:44,10:16,Nov-04
13:45,10:15,Dez-04
13:45,10:15,Dez-04
13:46,10:14,Dez-04
13:47,10:13,Dez-04
13:48,10:12,Dez-04
13:48,10:12,Dez-04
13:49,10:11,Dez-04
13:49,10:11,Dez-04
13:50,10:10,Dez-04
13:50,10:10,Dez-04
13:51,10:09,Dez-04
13:51,10:09,Dez-04
13:52,10:08,Dez-04
13:52,10:08,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:54,10:06,Dez-04
13:54,10:06,Dez-04
13:54,10:06,Dez-04
13:54,10:06,Dez-04
13:54,10:06,Dez-04
13:54,10:06,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:53,10:07,Dez-04
13:52,10:08,Dez-04
13:52,10:08,Jan-05
13:51,10:09,Jan-05
13:51,10:09,Jan-05
13:50,10:10,Jan-05
13:50,10:10,Jan-05
13:49,10:11,Jan-05
13:49,10:11,Jan-05
13:48,10:12,Jan-05
13:47,10:13,Jan-05
13:47,10:13,Jan-05
13:46,10:14,Jan-05
13:45,10:15,Jan-05
13:44,10:16,Jan-05
13:43,10:17,Jan-05
13:43,10:17,Jan-05
13:42,10:18,Jan-05
13:41,10:19,Jan-05
13:40,10:20,Jan-05
13:39,10:21,Jan-05
13:38,10:22,Jan-05
13:37,10:23,Jan-05
13:36,10:24,Jan-05
13:34,10:26,Jan-05
13:33,10:27,Jan-05
13:32,10:28,Jan-05
13:31,10:29,Jan-05
13:30,10:30,Jan-05
13:28,10:32,Jan-05
13:27,10:33,Jan-05
13:26,10:34,Jan-05
13:25,10:35,Jan-05
13:23,10:37,Fev-05
13:22,10:38,Fev-05
13:21,10:39,Fev-05
13:19,10:41,Fev-05
13:18,10:42,Fev-05
13:16,10:44,Fev-05
13:15,10:45,Fev-05
13:14,10:46,Fev-05
13:12,10:48,Fev-05
13:11,10:49,Fev-05
13:09,10:51,Fev-05
13:08,10:52,Fev-05
13:06,10:54,Fev-05
13:05,10:55,Fev-05
13:03,10:57,Fev-05
13:02,10:58,Fev-05
13:00,11:00,Fev-05
12:59,11:01,Fev-05
12:57,11:03,Fev-05
12:55,11:05,Fev-05
12:54,11:06,Fev-05
12:52,11:08,Fev-05
12:51,11:09,Fev-05
12:49,11:11,Fev-05
12:47,11:13,Fev-05
12:46,11:14,Fev-05
12:44,11:16,Fev-05
12:43,11:17,Fev-05
12:41,11:19,Mar-05
12:39,11:21,Mar-05
12:38,11:22,Mar-05
12:36,11:24,Mar-05
12:34,11:26,Mar-05
12:33,11:27,Mar-05
12:31,11:29,Mar-05
12:29,11:31,Mar-05
12:28,11:32,Mar-05
12:26,11:34,Mar-05
12:24,11:36,Mar-05
12:23,11:37,Mar-05
12:21,11:39,Mar-05
12:19,11:41,Mar-05
12:18,11:42,Mar-05
12:16,11:44,Mar-05
12:14,11:46,Mar-05
12:13,11:47,Mar-05
12:11,11:49,Mar-05
12:09,11:51,Mar-05
12:08,11:52,Mar-05
12:06,11:54,Mar-05
12:04,11:56,Mar-05
12:03,11:57,Mar-05
12:01,11:59,Mar-05
12:00,12:00,Mar-05
11:58,12:02,Mar-05
11:56,12:04,Mar-05
11:55,12:05,Mar-05
11:53,12:07,Mar-05
11:51,12:09,Mar-05
11:50,12:10,Apr-05
11:48,12:12,Apr-05
11:46,12:14,Apr-05
11:45,12:15,Apr-05
11:43,12:17,Apr-05
11:42,12:18,Apr-05
11:40,12:20,Apr-05
11:38,12:22,Apr-05
11:37,12:23,Apr-05
11:35,12:25,Apr-05
11:34,12:26,Apr-05
11:32,12:28,Apr-05
11:31,12:29,Apr-05
11:29,12:31,Apr-05
11:27,12:33,Apr-05
11:26,12:34,Apr-05
11:24,12:36,Apr-05
11:23,12:37,Apr-05
11:21,12:39,Apr-05
11:20,12:40,Apr-05
11:18,12:42,Apr-05
11:17,12:43,Apr-05
11:15,12:45,Apr-05
11:14,12:46,Apr-05
11:13,12:47,Apr-05
11:11,12:49,Apr-05
11:10,12:50,Apr-05
11:08,12:52,Apr-05
11:07,12:53,Apr-05
11:05,12:55,Apr-05
11:04,12:56,May-05
11:03,12:57,May-05
11:01,12:59,May-05
11:00,13:00,May-05
10:59,13:01,May-05
10:57,13:03,May-05
10:56,13:04,May-05
10:55,13:05,May-05
10:54,13:06,May-05
10:52,13:08,May-05
10:51,13:09,May-05
10:50,13:10,May-05
10:49,13:11,May-05
10:48,13:12,May-05
10:47,13:13,May-05
10:45,13:15,May-05
10:44,13:16,May-05
10:43,13:17,May-05
10:42,13:18,May-05
10:41,13:19,May-05
10:40,13:20,May-05
10:39,13:21,May-05
10:38,13:22,May-05
10:37,13:23,May-05
10:37,13:23,May-05
10:36,13:24,May-05
10:35,13:25,May-05
10:34,13:26,May-05
10:33,13:27,May-05
10:32,13:28,May-05
10:32,13:28,May-05
10:31,13:29,May-05
